20221107103148,10/05/2008 15:09:35,4,413.0
20221107103150,03/21/2008 23:50:29,2,4889.0
20221107103152,07/24/2008 07:06:47,1,3984.0
20221107103154,02/09/2008 11:16:19,2,3795.0
20221107103156,01/18/2008 04:41:51,4,897.5
20221107103158,06/23/2008 04:16:03,2,169.0
20221107103200,01/01/2009 23:04:58,4,543.0
20221107103202,04/13/2008 20:10:46,2,120.0
20221107103204,04/24/2008 15:22:06,1,44.0
20221107103206,11/16/2008 03:30:50,3,2658.5
20221107103208,12/19/2008 21:19:12,1,3458.0
20221107103255,10/03/2008 14:16:48,1,16.0
20221107103257,03/07/2008 12:30:02,1,2963.5
20221107103259,03/08/2008 13:49:56,3,723.0
20221107103301,05/19/2008 06:48:27,3,834.0
20221107103303,10/01/2008 20:48:15,3,308.0
20221107103305,08/20/2008 06:38:28,4,425.5
20221107103307,05/04/2008 12:49:50,2,475.0
20221107103309,10/01/2008 20:41:18,1,2779.0
20221107103311,11/01/2008 21:43:05,4,287.0
20221107103313,09/19/2008 18:21:21,1,39.0
20221107103315,10/29/2008 06:29:55,1,1824.0
